dummy,collectioncode,LocationCode,year,Date,timestart,timeend,Number.volunteers,total.minutes,effort,Temp,WindMaxmph,BumbleBeeIDer,EstCloudCover,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName
60,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,male,Impatiens,capensis,,
61,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Echinacea,purpurea,,
62,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Eutrochium,maculatum,,
63,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Solidago,canadensis,,
64,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Solanum,dulcamara,,
65,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Agastache,sp.,,
66,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,3,female,Cirsium,discolor,,
67,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Veronicastrum,virginianum,,
68,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,16,female,Impatiens,capensis,,
69,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,male,Solidago,canadensis,,
70,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,3,male,Impatiens,capensis,,
71,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,female,Agastache,sp.,,
72,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,affinis,1,male,Solidago,canadensis,,
73,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,auricomus,1,female,Solidago,rigida,,
74,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,auricomus,3,female,Gentiana,alba,,
75,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,auricomus,1,female,Liatris,aspera,,
76,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,citrinus,1,female,Liatris,aspera,,
77,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,citrinus,1,male,Silphium,perfoliatum,,
78,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,citrinus,5,male,Solidago,canadensis,,
79,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,2,female,Lezpedeza,capitata,,
80,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,female,Gentiana,alba,,
81,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,male,Monarda ,fistulosa,,
82,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,male,Pycnathemum,virginianum,,
83,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,2,male,Solidago,canadensis,,
84,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,female,Rhus,glabra,,
85,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,female,Ratibida,sp.,,
86,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,21,female,Solidago,canadensis,,
87,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,7,male,Solidago,canadensis,,
88,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,13,female,Lezpedeza,capitata,,
89,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Silphium,perfoliatum,,
90,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Physotegia,virginiana,,
91,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Veronicastrum,virginianum,,
92,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,NA,NA,,
93,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,rufocinctus,1,male,Monarda ,fistulosa,,
94,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,rufocinctus,1,male,Lezpedeza,capitata,,
95,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,3,female,Physotegia,virginiana,,
96,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,3,female,Solidago,canadensis,,
97,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,female,Physotegia,virginiana,,
98,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,female,Solidago,canadensis,,
99,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,affinis,3,male,Solidago,speciosa,Asteraceae,
100,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,citrinus,2,male,Solidago,speciosa,Asteraceae,
101,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,griseocollis,3,male,Solidago,speciosa,Asteraceae,
102,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,1,female,Solidago,canadensis,Asteraceae,
103,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,3,male,Solidago,canadensis,Asteraceae,
104,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,9,female,Solidago,speciosa,Asteraceae,
105,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,57,male,Solidago,speciosa,Asteraceae,
106,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,1,female,Solidago,rigida,Asteraceae,
107,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,2,male,Solidago,rigida,Asteraceae,
108,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,rufocinctus,1,female,Solidago,speciosa,Asteraceae,
109,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,vagans,2,male,Solidago,speciosa,Asteraceae,
