"collectioncode"	"LocationCode"	"Date"	"timestart"	"timeend"	"Number.volunteers"	"total.minutes"	"effort"	"Temp"	"WindMaxmph"	"BumbleBeeIDer"	"EstCloudCover"	"Color..if.mark.recapture."	"SitePlantInfo"	"BumbleBeeSpecies"	"Abundance"	"Sex"	"FlowerGenus"	"Flowerspecies"	"Flowerfamily"	"FlowerFieldName"	"Gyne.included.already.in.female.count."	"IDconfidence"	"PhotoFileID"	"Notes"	"Entered.in.BBW"	"PrevioslyMarked2"	"PrevioslyMarked3"
"13"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	1	"female"	"Pycnanthemum"	"virginianum"	""	"Mt mint"	NA	NA	NA	NA	NA	NA	NA
"14"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	1	"female"	"Agastache"	"foeniculum"	""	""	NA	NA	NA	NA	NA	NA	NA
"15"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	5	"female"	"Cirsium"	"arvense"	""	""	NA	NA	NA	NA	NA	NA	NA
"16"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	5	"male"	"Sorbaria "	"sorbifolia"	""	""	NA	NA	NA	NA	NA	NA	NA
"17"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	3	"male"	"Monarda"	"fistulosa"	"Lamiaceae"	"Mon fis"	NA	NA	NA	NA	NA	NA	NA
"18"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	2	"male"	"Nepeta"	"sp. "	""	"catmint"	NA	NA	NA	NA	NA	NA	NA
"19"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	1	"male"	"Agastache"	"foeniculum"	""	""	NA	NA	NA	NA	NA	NA	NA
"20"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	4	"male"	"Cirsium"	"arvense"	""	""	NA	NA	NA	NA	NA	NA	NA
"21"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	1	"female"	"Sorbaria "	"sorbifolia"	""	""	NA	NA	NA	NA	NA	NA	NA
"22"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	1	"female"	"Cirsium"	"arvense"	""	""	NA	NA	NA	NA	NA	NA	NA
"23"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	1	"male"	"Cirsium"	"arvense"	""	""	NA	NA	NA	NA	NA	NA	NA
"24"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	1	"female"	"Sorbaria"	"sorbifolia"	""	""	NA	NA	NA	NA	NA	NA	NA
"25"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"vagans"	1	"female"	"Nepeta"	"sp. "	""	"catmint"	NA	NA	NA	NA	NA	NA	NA
"26"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"vagans"	1	"female"	"Echinacea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"27"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"vagans"	1	"female"	"Cirsium"	"arvense"	""	""	NA	NA	NA	NA	NA	NA	NA
"28"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"rufocinctus"	2	"female"	"Sorbaria"	"sorbifolia"	""	""	NA	NA	NA	NA	NA	NA	NA
"29"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"rufocinctus"	1	"female"	"Trifolium"	"repens"	""	""	NA	NA	NA	NA	NA	NA	NA
"30"	"2023RitterJuly7"	"Ritter"	"7/7/2023"	"10:20"	"12:00"	8	100	800	68	4	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"rufocinctus"	1	"female"	"Echinacea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"31"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	6	"female"	"Monarda"	"fistulosa"	""	"Mon fist"	NA	NA	NA	NA	NA	NA	NA
"32"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	6	"female"	"Desmodium"	"canadense"	""	"Desmodium"	NA	NA	NA	NA	NA	NA	NA
"33"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	2	"female"	"Dalea"	"candida"	" "	""	NA	NA	NA	NA	NA	NA	NA
"34"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"bimaculatus"	2	"male"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"35"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	2	"female"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"36"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	9	"female"	"Desmodium"	"canadense"	""	""	NA	NA	NA	NA	NA	NA	NA
"37"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	3	"female"	"Dalea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"38"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	2	"female"	"Dalea"	"candida"	""	""	NA	NA	NA	NA	NA	NA	NA
"39"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	1	"female"	"Vicia"	"villosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"40"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	4	"male"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"41"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"griseocollis"	1	"male"	"Dalea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"42"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	45	"female"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"43"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	12	"female"	"Desmoidum"	"canadense"	""	""	NA	NA	NA	NA	NA	NA	NA
"44"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	4	"female"	"Baptisa"	"alba"	""	"Baptisa white"	NA	NA	NA	NA	NA	NA	NA
"45"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	3	"female"	"Dalea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"46"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	3	"female"	"Dalea"	"candida"	""	""	NA	NA	NA	NA	NA	NA	NA
"47"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	1	"female"	"Vicia"	"villosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"48"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"auricomus"	1	"female"	"Veronicastrum"	"virginicum"	""	"culver's root"	NA	NA	NA	NA	NA	NA	NA
"49"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"vagans"	1	"male"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"50"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"vagans"	1	"male"	"Veronicastrum"	"virginicum"	""	""	NA	NA	NA	NA	NA	NA	NA
"51"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"vagans"	1	"male"	"Dalea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"52"	"2023SpringLakeJuly7"	"SpringLake"	"7/7/2023"	"13:30"	"15:00"	12	90	1080	71	7	"Elaine Evans, Clara Costello, Elise Bernstein"	"hazy"	""	NA	"rufocinctus"	1	"female"	"Pycnanthemum"	"virginianum"	""	""	NA	NA	NA	NA	NA	NA	NA
"53"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	67	"female"	"Pycnanthemum"	"virginianum"	""	"Mt mint"	NA	NA	NA	NA	NA	NA	NA
"54"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	13	"female"	"Monarda"	"fistulosa"	""	"Mon fist"	NA	NA	NA	NA	NA	NA	NA
"55"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	7	"female"	"Veronicastrum"	"virginicum"	""	"Culver's root"	NA	NA	NA	NA	NA	NA	NA
"56"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	3	"female"	"Echinacea"	"purpurea"	""	"Ech pur"	NA	NA	NA	NA	NA	NA	NA
"57"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	1	"female"	"Eryngium"	"yuccifolium"	""	"rattlesnake master"	NA	NA	NA	NA	NA	NA	NA
"58"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	1	"female"	"Ratibida"	"pinnata"	""	"Rat pin"	NA	NA	NA	NA	NA	NA	NA
"59"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	2	"female"	"Verbena"	"stricta"	""	"Ver stri"	NA	NA	NA	NA	NA	NA	NA
"60"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	1	"male"	"Monarda "	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"61"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	1	"male"	"Ratibida "	"pinnata"	""	""	NA	NA	NA	NA	NA	NA	NA
"62"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	1	"male"	"Verbena"	"stricta"	""	""	NA	NA	NA	NA	NA	NA	NA
"63"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"bimaculatus"	4	"female"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"64"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"bimaculatus"	2	"male"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"65"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"griseocollis"	8	"male"	"Echinacea "	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"66"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"griseocollis"	2	"male"	"Pycnanthemum"	"virginianum"	""	""	NA	NA	NA	NA	NA	NA	NA
"67"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"griseocollis"	18	"male"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"68"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"griseocollis"	5	"male"	"Ratibida"	"pinnata"	""	""	NA	NA	NA	NA	NA	NA	NA
"69"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"griseocollis"	2	"female"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"70"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"auricomus"	1	"female"	"Ratibida"	"pinnata"	""	""	NA	NA	NA	NA	NA	NA	NA
"71"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"auricomus"	22	"female"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"72"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"auricomus"	2	"female"	"Pycnanthemum"	"virginianum"	""	""	NA	NA	NA	NA	NA	NA	NA
"73"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"auricomus"	1	"female"	"Echinacea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"74"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"vagans"	9	"female"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"75"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"vagans"	2	"female"	"Pycnanthemum"	"virginianum"	""	""	NA	NA	NA	NA	NA	NA	NA
"76"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"vagans"	1	"female"	"Ratibida"	"pinnata"	""	""	NA	NA	NA	NA	NA	NA	NA
"77"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"vagans"	1	"female"	"Veronicastrum"	"virginicum"	""	""	NA	NA	NA	NA	NA	NA	NA
"78"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"vagans"	1	"female"	"Echinacea"	"purpurea"	""	""	NA	NA	NA	NA	NA	NA	NA
"79"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"rufocinctus"	2	"female"	"Ratibida"	"pinnata"	""	""	NA	NA	NA	NA	NA	NA	NA
"80"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"rufocinctus"	2	"female"	"Pycnanthemum"	"virginianum"	""	""	NA	NA	NA	NA	NA	NA	NA
"81"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"rufocinctus"	1	"female"	"Monarda"	"fistulosa"	""	""	NA	NA	NA	NA	NA	NA	NA
"82"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"rufocinctus"	1	"male"	"Pycnanthemum"	"virginianum"	""	""	NA	NA	NA	NA	NA	NA	NA
"83"	"2023RitterAugust4"	"Ritter"	"8/4/2023"	"13:30"	"14:30"	15	90	1350	90	2	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"citrinus"	1	"male"	"Veronicastrum"	"virginicum"	""	""	NA	NA	NA	NA	NA	NA	NA
"84"	"2023SpringLakeAugust4"	"SpringLake"	"8/4/2023"	"10:30"	"11:30"	8	90	720	78	0	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	22	"female"	"Veronicastrum"	"virginicum"	""	""	NA	NA	NA	NA	NA	NA	NA
"85"	"2023SpringLakeAugust4"	"SpringLake"	"8/4/2023"	"10:30"	"11:30"	8	90	720	78	0	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	1	"female"	"Lespedeza"	"capitata"	""	""	NA	NA	NA	NA	NA	NA	NA
"86"	"2023SpringLakeAugust4"	"SpringLake"	"8/4/2023"	"10:30"	"11:30"	8	90	720	78	0	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	2	"male"	"Veronicastrum"	"virginicum"	""	""	NA	NA	NA	NA	NA	NA	NA
"87"	"2023SpringLakeAugust4"	"SpringLake"	"8/4/2023"	"10:30"	"11:30"	8	90	720	78	0	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"impatiens"	1	"male"	"Lespedeza"	"capitata"	""	""	NA	NA	NA	NA	NA	NA	NA
"88"	"2023SpringLakeAugust4"	"SpringLake"	"8/4/2023"	"10:30"	"11:30"	8	90	720	78	0	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"bimaculatus"	1	"male"	"Veronicastrum"	"virginicum"	""	""	NA	NA	NA	NA	NA	NA	NA
"89"	"2023SpringLakeAugust4"	"SpringLake"	"8/4/2023"	"10:30"	"11:30"	8	90	720	78	0	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"bimaculatus"	1	"female"	"Lespedeza"	"capitata"	""	""	NA	NA	NA	NA	NA	NA	NA
"90"	"2023SpringLakeAugust4"	"SpringLake"	"8/4/2023"	"10:30"	"11:30"	8	90	720	78	0	"Elaine Evans, Clara Costello, Elise Bernstein"	"partly cloudy"	""	NA	"bimaculatus"	1	"male"	"Lespedeza"	"capitata"	""	""	NA	NA	NA	NA	NA	NA	NA
