collectioncode,year,site,Julian date,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2023RitterJuly7,2023,Ritter,188,vagans,1,female,Cirsium,arvense,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,rufocinctus,2,female,Sorbaria,sorbifolia,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,rufocinctus,1,female,Trifolium,repens,,,,,,,,,
2023RitterJuly7,2023,Ritter,188,rufocinctus,1,female,Echinacea,purpurea,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,bimaculatus,6,female,Monarda,fistulosa,,Mon fist,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,bimaculatus,6,female,Desmodium,canadense,,Desmodium,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,bimaculatus,2,female,Dalea,candida, ,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,bimaculatus,2,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,griseocollis,2,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,griseocollis,9,female,Desmodium,canadense,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,griseocollis,3,female,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,griseocollis,2,female,Dalea,candida,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,griseocollis,1,female,Vicia,villosa,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,griseocollis,4,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,griseocollis,1,male,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,auricomus,45,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,auricomus,12,female,Desmoidum,canadense,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,auricomus,4,female,Baptisa,alba,,Baptisa white,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,auricomus,3,female,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,auricomus,3,female,Dalea,candida,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,auricomus,1,female,Vicia,villosa,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,auricomus,1,female,Veronicastrum,virginicum,,culver's root,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,vagans,1,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,vagans,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,vagans,1,male,Dalea,purpurea,,,,,,,,,
2023SpringLakeJuly7,2023,Spring,188,rufocinctus,1,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,67,female,Pycnanthemum,virginianum,,Mt mint,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,13,female,Monarda,fistulosa,,Mon fist,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,7,female,Veronicastrum,virginicum,,Culver's root,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,3,female,Echinacea,purpurea,,Ech pur,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,1,female,Eryngium,yuccifolium,,rattlesnake master,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,1,female,Ratibida,pinnata,,Rat pin,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,2,female,Verbena,stricta,,Ver stri,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,1,male,Monarda ,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,1,male,Ratibida ,pinnata,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,impatiens,1,male,Verbena,stricta,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,bimaculatus,4,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,bimaculatus,2,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,griseocollis,8,male,Echinacea ,purpurea,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,griseocollis,2,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,griseocollis,18,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,griseocollis,5,male,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,griseocollis,2,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,auricomus,1,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,auricomus,22,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,auricomus,2,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,auricomus,1,female,Echinacea,purpurea,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,vagans,9,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,vagans,2,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,vagans,1,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,vagans,1,female,Veronicastrum,virginicum,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,vagans,1,female,Echinacea,purpurea,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,rufocinctus,2,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,rufocinctus,2,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,rufocinctus,1,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,rufocinctus,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust4,2023,Ritter,216,citrinus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,impatiens,22,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,impatiens,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,impatiens,2,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,impatiens,1,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,bimaculatus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,bimaculatus,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,bimaculatus,1,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,griseocollis,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,griseocollis,1,male,Liatris,pycnostachya,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,auricomus,28,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,auricomus,1,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,auricomus,1,female,Desomdium,canadense,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,auricomus,1,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,auricomus,2,male,perching,,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,vagans,1,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,vagans,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,vagans,1,male,Monarda,fistuloa,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,vagans,2,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,rufocinctus,1,male,Ratibida,pinnata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,rufocinctus,2,male,perching,,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,rufocinctus,4,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,rufocinctus,1,female,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,rufocinctus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,citrinus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,citrinus,1,male,Pycnanthemum,sp.,,,,,,,,,
2023SpringLakeAugust4,2023,Spring,216,affinis,1,female,Veronicastrum,virginicum,,,,,,,,,
2022SpringLakeAugust9,2022,Spring,221,affinis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir,,,,,x,,
2022RitterAugust9,2022,Ritter,221,auricomus,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,,,
2022RitterAugust9,2022,Ritter,221,auricomus,1,male,Vernonia,fasciculata,Asteraceae,iron weed,,,,,,,
2022RitterAugust9,2022,Ritter,221,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,,,
2022SpringLakeAugust9,2022,Spring,221,auricomus,22,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,auricomus,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022RitterAugust9,2022,Ritter,221,bimaculatus,1,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,
2022RitterAugust9,2022,Ritter,221,bimaculatus,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022RitterAugust9,2022,Ritter,221,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022RitterAugust9,2022,Ritter,221,bimaculatus,6,male,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,bimaculatus,1,male,Pycnathemum,virginianum,Lamiaceae,pyc vir,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,bimaculatus,2,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022RitterAugust9,2022,Ritter,221,griseocollis,1,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,
2022RitterAugust9,2022,Ritter,221,griseocollis,4,male,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,
2022RitterAugust9,2022,Ritter,221,griseocollis,4,male,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022RitterAugust9,2022,Ritter,221,griseocollis,16,male,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022RitterAugust9,2022,Ritter,221,griseocollis,1,male,Agastache,foeniculum,Lamiaceae,anise hyss,,,,,x,,
2022RitterAugust9,2022,Ritter,221,griseocollis,1,male,Eutrochium,maculatum,Asteraceae,joe pye,,,,,x,,
2022RitterAugust9,2022,Ritter,221,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,mt mint,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,griseocollis,3,male,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,griseocollis,1,female,Pycnathemum,verticillatum,Lamiaceae,hairy mt mint,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,griseocollis,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,22,female,Pycnathemum,virginianum,Lamiaceae,mt mint,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,5,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,8,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,1,female,Cirsium,vulgare,Asteraceae,bull thistle,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,2,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,2,female,Verbena,stricta,,,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,1,female,NA,NA,,,,,,,x,,
2022RitterAugust9,2022,Ritter,221,impatiens,1,female,Eutrochium,maculatum,Asteraceae,joe pye,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,impatiens,6,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,impatiens,1,female,Desmodium,canadense,Fabaceae,tick trefoil,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,impatiens,1,male,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,impatiens,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022RitterAugust9,2022,Ritter,221,pensylvanicus,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,,,
2022RitterAugust9,2022,Ritter,221,rufocinctus,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,rufocinctus,1,male,Patrolling,NA,,,,,,,,,
2022RitterAugust9,2022,Ritter,221,vagans,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,
2022RitterAugust9,2022,Ritter,221,vagans,2,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,
2022RitterAugust9,2022,Ritter,221,vagans,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,
2022RitterAugust9,2022,Ritter,221,vagans,1,female,Allium,cernuum,Liliaceae,knodding wild onion,,,,,x,,
2022RitterAugust9,2022,Ritter,221,vagans,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,
2022SpringLakeAugust9,2022,Spring,221,vagans,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,8,female,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,14,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,5,female,Veronia,missurica,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,1,female,Ratibida,pinnata,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,female,Monarda,fistulsoa,,bee balm,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,3,female,Heliopsis,helianthoides,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,female,Sonchus,oleraceus,,sow thistle,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,female,Solidago,canadensis,,Sol can,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,1,female,Rudbeckia,hirta,,Rud hirt,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,male,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,34,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,3,male,Veronia,missurica,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,male,perching,,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,5,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,male,Heliopsis,helianthoides,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,3,male,Solidago,canadensis,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,4,male,Veronicastrum,virginicum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,female,Oxalis,dillenii,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,2,female,Eutrochium,purpureum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,1,female,Cirsium,sp.,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,1,male,Berteroa,incana,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,impatiens,6,male,Eurtrochium,purpureum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,griseocollis,8,male,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,griseocollis,4,male,Monarda,fistulosa,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,griseocollis,1,male,Veronia,missurica,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,griseocollis,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,griseocollis,1,male,Cirsium,vulgaris,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,auricomus,2,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,vagans,2,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,vagans,1,male,perching,,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,vagans,1,male,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,vagans,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,vagans,1,male,Cirsium,sp.,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,vagans,1,male,Rudbeckia,hirta,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,vagans,1,female,Cirsium,vulgaris,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,citrinus,2,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,rufocinctus,1,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,2023,Ritter,229,rufocinctus,1,male,Eutrochium,purpureum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,impatiens,1,female,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,impatiens,10,male,Solidago ,canadensis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,impatiens,1,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,impatiens,1,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,griseocollis,3,male,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,griseocollis,1,male,perching,,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,griseocollis,3,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,griseocollis,1,male,Liatris,ligulistylis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,griseocollis,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,auricomus,5,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,auricomus,6,female,Gentiana ,alba,,,1,,,,,,
2023SpringLakeAugust17,2023,Spring,229,auricomus,1,female,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,auricomus,2,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,auricomus,4,male,perching,,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,auricomus,2,male,Pycnanthemum,virginianum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,auricomus,3,male,Lespedeza,capitata,,,,,,,,,
2032SpringLakeAugust17,2032,Spring,229,vagans,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,citrinus,4,male,Pycnanthemum,virginianum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,citrinus,2,male,Liatris,ligulistylis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,citrinus,3,male,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,citrinus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,citrinus,1,male,Silphium,sp.,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,rufocinctus,2,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,rufocinctus,4,male,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,rufocinctus,5,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,rufocinctus,1,male,Silphium,perfoliatum,,,,,,,,,
2023SpringLakeAugust17,2023,Spring,229,rufocinctus,1,male,Ratibida,pinnata,,,,,,,,,
2022SpringLakeAugust25,2022,Spring,237,affinis,1,male,Solidago,canadensis,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,auricomus,1,female,Solidago,rigida,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,auricomus,3,female,Gentiana,alba,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,auricomus,1,female,Liatris,aspera,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,bimaculatus,1,female,Eutrochium,maculatum,,,,,,,,,
2022SpringLakeAugust25,2022,Spring,237,citrinus,1,female,Liatris,aspera,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,citrinus,1,male,Silphium,perfoliatum,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,citrinus,5,male,Solidago,canadensis,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,griseocollis,2,female,Lezpedeza,capitata,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,griseocollis,1,female,Gentiana,alba,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,griseocollis,1,male,Monarda ,fistulosa,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,griseocollis,1,male,Pycnathemum,virginianum,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,griseocollis,2,male,Solidago,canadensis,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,griseocollis,1,female,Rhus,glabra,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,griseocollis,1,female,Ratibida,sp.,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,27,female,Impatiens,capensis,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,1,male,Impatiens,capensis,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,2,female,Echinacea,purpurea,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,1,female,Eutrochium,maculatum,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,2,female,Solidago,canadensis,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,2,female,Solanum,dulcamara,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,1,female,Agastache,sp.,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,3,female,Cirsium,discolor,,,,,,,x,,
2022RitterAugust25,2022,Ritter,237,impatiens,1,female,Veronicastrum,virginianum,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,impatiens,21,female,Solidago,canadensis,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,impatiens,7,male,Solidago,canadensis,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,impatiens,13,female,Lezpedeza,capitata,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,impatiens,2,female,Silphium,perfoliatum,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,impatiens,2,female,Physotegia,virginiana,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,impatiens,1,female,Veronicastrum,virginianum,,,,,,,x,,
2022SpringLakeAugust25,2022,Spring,237,impatiens,1,female,NA,NA,,,1,,,nest,x,,
2022SpringLakeAugust25,2022,Spring,237,rufocinctus,1,male,Monarda ,fistulosa,,,,,,,,,
2022SpringLakeAugust25,2022,Spring,237,rufocinctus,1,male,Lezpedeza,capitata,,,,,,,,,
