collectioncode,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3
2023RitterAugust17,vagans,2,female,Monarda,fistulosa,,,,,,,,,
2023RitterAugust17,vagans,1,male,perching,,,,,,,,,,
2023RitterAugust17,vagans,1,male,Echinacea,purpurea,,,,,,,,,
2023RitterAugust17,vagans,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,vagans,1,male,Cirsium,sp.,,,,,,,,,
2023RitterAugust17,vagans,1,male,Rudbeckia,hirta,,,,,,,,,
2023RitterAugust17,vagans,1,female,Cirsium,vulgaris,,,,,,,,,
2023RitterAugust17,citrinus,2,male,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,rufocinctus,1,female,Pycnanthemum,virginianum,,,,,,,,,
2023RitterAugust17,rufocinctus,1,male,Eutrochium,purpureum,,,,,,,,,
2023SpringLakeAugust17,impatiens,1,female,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,impatiens,10,male,Solidago ,canadensis,,,,,,,,,
2023SpringLakeAugust17,impatiens,1,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust17,impatiens,1,female,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,griseocollis,3,male,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,griseocollis,1,male,perching,,,,,,,,,,
2023SpringLakeAugust17,griseocollis,3,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust17,griseocollis,1,male,Liatris,ligulistylis,,,,,,,,,
2023SpringLakeAugust17,griseocollis,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,auricomus,5,female,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust17,auricomus,6,female,Gentiana ,alba,,,1,,,,,,
2023SpringLakeAugust17,auricomus,1,female,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,auricomus,2,male,Monarda,fistulosa,,,,,,,,,
2023SpringLakeAugust17,auricomus,4,male,perching,,,,,,,,,,
2023SpringLakeAugust17,auricomus,2,male,Pycnanthemum,virginianum,,,,,,,,,
2023SpringLakeAugust17,auricomus,3,male,Lespedeza,capitata,,,,,,,,,
2032SpringLakeAugust17,vagans,1,male,Pycnanthemum,virginianum,,,,,,,,,
2023SpringLakeAugust17,citrinus,4,male,Pycnanthemum,virginianum,,,,,,,,,
2023SpringLakeAugust17,citrinus,2,male,Liatris,ligulistylis,,,,,,,,,
2023SpringLakeAugust17,citrinus,3,male,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,citrinus,1,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,citrinus,1,male,Silphium,sp.,,,,,,,,,
2023SpringLakeAugust17,rufocinctus,2,male,Lespedeza,capitata,,,,,,,,,
2023SpringLakeAugust17,rufocinctus,4,male,Solidago,canadensis,,,,,,,,,
2023SpringLakeAugust17,rufocinctus,5,male,Veronicastrum,virginicum,,,,,,,,,
2023SpringLakeAugust17,rufocinctus,1,male,Silphium,perfoliatum,,,,,,,,,
2023SpringLakeAugust17,rufocinctus,1,male,Ratibida,pinnata,,,,,,,,,
