collectioncode,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,Gyne(included already in female count),IDconfidence,PhotoFileID,Notes,Entered in BBW,PrevioslyMarked2,PrevioslyMarked3,,,,,,,,,,,,,
2022RitterAugust25,bimaculatus,1,female,Eutrochium,maculatum,,,,,,,,,,,,,,,,,,,,,,
2022RitterAugust9,bimaculatus,1,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,bimaculatus,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,bimaculatus,6,male,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022RitterJuly7,bimaculatus,14,female,Sorbaria,sorbifolia,Rosaceae,false spirea,,,,,,,,,,,,,,,,,,,,
2022SpringLakeAugust9,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,bimaculatus,1,male,Pycnathemum,virginianum,Lamiaceae,pyc vir,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,bimaculatus,2,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,citrinus,1,female,Liatris,aspera,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,citrinus,1,male,Silphium,perfoliatum,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,citrinus,5,male,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,citrinus,2,male,Solidago,speciosa,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,griseocollis,1,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,griseocollis,4,male,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,griseocollis,4,male,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,griseocollis,16,male,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,griseocollis,1,male,Agastache,foeniculum,Lamiaceae,anise hyss,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,griseocollis,1,male,Eutrochium,maculatum,Asteraceae,joe pye,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,mt mint,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,griseocollis,2,female,Lezpedeza,capitata,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,griseocollis,1,female,Gentiana,alba,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,griseocollis,1,male,Monarda ,fistulosa,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,griseocollis,1,male,Pycnathemum,virginianum,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,griseocollis,2,male,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,griseocollis,1,female,Rhus,glabra,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,griseocollis,1,female,Ratibida,sp.,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,griseocollis,3,male,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,griseocollis,1,female,Pycnathemum,verticillatum,Lamiaceae,hairy mt mint,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,griseocollis,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,griseocollis,3,male,Solidago,speciosa,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,27,female,Impatiens,capensis,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,1,male,Impatiens,capensis,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,2,female,Echinacea,purpurea,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,1,female,Eutrochium,maculatum,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,2,female,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,2,female,Solanum,dulcamara,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,1,female,Agastache,sp.,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,3,female,Cirsium,discolor,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,impatiens,1,female,Veronicastrum,virginianum,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,22,female,Pycnathemum,virginianum,Lamiaceae,mt mint,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,5,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,8,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,1,female,Cirsium,vulgare,Asteraceae,bull thistle,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,2,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,2,female,Verbena,stricta,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,1,female,NA,NA,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,impatiens,1,female,Eutrochium,maculatum,Asteraceae,joe pye,,,,,x,,,,,,,,,,,,,,,
2022RitterJuly7,impatiens,6,female,Sorbaria,sorbifolia,Rosaceae,false spirea,,,,,,,,,,,,,,,,,,,,
2022SpringLakeAugust25,impatiens,21,female,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,impatiens,7,male,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,impatiens,13,female,Lezpedeza,capitata,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,impatiens,2,female,Silphium,perfoliatum,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,impatiens,2,female,Physotegia,virginiana,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,impatiens,1,female,Veronicastrum,virginianum,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,impatiens,1,female,NA,NA,,,1,,,nest,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,impatiens,6,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,impatiens,1,female,Desmodium,canadense,Fabaceae,tick trefoil,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,impatiens,1,male,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,impatiens,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,impatiens,1,female,Solidago,canadensis,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,impatiens,3,male,Solidago,canadensis,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,impatiens,9,female,Solidago,speciosa,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,impatiens,57,male,Solidago,speciosa,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,impatiens,1,female,Solidago,rigida,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,impatiens,2,male,Solidago,rigida,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,pensylvanicus,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,,,,,,,,,,,,,,,,
2022RitterJuly7,pensylvanicus,2,female,Sorbaria,sorbifolia,Rosaceae,false spirea,,,,,,,,,,,,,,,,,,,,
2022RitterAugust9,rufocinctus,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,rufocinctus,1,male,Monarda ,fistulosa,,,,,,,,,,,,,,,,,,,,,,
2022SpringLakeAugust25,rufocinctus,1,male,Lezpedeza,capitata,,,,,,,,,,,,,,,,,,,,,,
2022SpringLakeAugust9,rufocinctus,1,male,Patrolling,NA,,,,,,,,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,rufocinctus,1,female,Solidago,speciosa,Asteraceae,,1,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,vagans,16,female,Impatiens,capensis,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,vagans,1,male,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,vagans,3,male,Impatiens,capensis,,,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust25,vagans,1,female,Agastache,sp.,,,,,,,,,,,,,,,,,,,,,,
2022RitterAugust9,vagans,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,vagans,2,female,Echinacea,purpurea,Asteraceae,echnacea,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,vagans,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,vagans,1,female,Allium,cernuum,Liliaceae,knodding wild onion,,,,,x,,,,,,,,,,,,,,,
2022RitterAugust9,vagans,1,female,Ratibida,pinnata,Asteraceae,rat pin,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,vagans,3,female,Physotegia,virginiana,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,vagans,3,female,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,vagans,1,female,Physotegia,virginiana,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust25,vagans,1,female,Solidago,canadensis,,,,,,,x,,,,,,,,,,,,,,,
2022SpringLakeAugust9,vagans,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,,,,,,,,,,,,,,,,,,,,
2022SpringLakeSeptember12,vagans,2,male,Solidago,speciosa,Asteraceae,,,,,,x,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
