dummy,collectioncode,LocationCode,year,Date,timestart,timeend,Number.volunteers,total.minutes,effort,Temp,WindMaxmph,BumbleBeeIDer,EstCloudCover,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName
25,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root
26,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,9,female,Monarda ,fistulosa,Lamiaceae,mon fis
27,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Cirsium,vulgare,Asteraceae,bull thistle
28,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,female,Ratibida,pinnata,Asteraceae,rat pin
29,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,female,Verbena,stricta,,
30,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,NA,NA,,
31,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Eutrochium,maculatum,Asteraceae,joe pye
32,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,pensylvanicus,1,female,Monarda ,fistulosa,Lamiaceae,mon fis
33,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,rufocinctus,1,female,Ratibida,pinnata,Asteraceae,rat pin
34,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,9,female,Monarda ,fistulosa,Lamiaceae,mon fis
35,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,2,female,Echinacea,purpurea,Asteraceae,echnacea
36,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
37,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Allium,cernuum,Liliaceae,knodding wild onion
38,2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Ratibida,pinnata,Asteraceae,rat pin
39,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,affinis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir
40,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,22,female,Monarda ,fistulosa,Lamiaceae,mon fis
41,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Ratibida,pinnata,Asteraceae,rat pin
42,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,auricomus,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
43,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,2,female,Monarda ,fistulosa,Lamiaceae,mon fis
44,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,1,male,Pycnathemum,virginianum,Lamiaceae,pyc vir
45,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,bimaculatus,2,female,Veronicastrum,virginicum,Fabaceae,culvers root
46,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,3,male,Ratibida,pinnata,Asteraceae,rat pin
47,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir
48,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Pycnathemum,verticillatum,Lamiaceae,hairy mt mint
49,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,griseocollis,1,female,Veronicastrum,virginicum,Fabaceae,culvers root
50,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,6,female,Veronicastrum,virginicum,Fabaceae,culvers root
51,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root
52,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Desmodium,canadense,Fabaceae,tick trefoil
53,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,male,Ratibida,pinnata,Asteraceae,rat pin
54,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,impatiens,1,female,Monarda ,fistulosa,Lamiaceae,mon fis
55,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,rufocinctus,1,male,Patrolling,NA,,
56,2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,vagans,1,female,Monarda ,fistulosa,Lamiaceae,mon fis
57,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,bimaculatus,1,female,Eutrochium,maculatum,,
58,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,27,female,Impatiens,capensis,,
59,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,male,Impatiens,capensis,,
60,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Echinacea,purpurea,,
61,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Eutrochium,maculatum,,
62,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Solidago,canadensis,,
63,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Solanum,dulcamara,,
64,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Agastache,sp.,,
65,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,3,female,Cirsium,discolor,,
66,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Veronicastrum,virginianum,,
67,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,16,female,Impatiens,capensis,,
68,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,male,Solidago,canadensis,,
69,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,3,male,Impatiens,capensis,,
70,2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,female,Agastache,sp.,,
71,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,affinis,1,male,Solidago,canadensis,,
72,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,auricomus,1,female,Solidago,rigida,,
73,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,auricomus,3,female,Gentiana,alba,,
74,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,auricomus,1,female,Liatris,aspera,,
75,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,citrinus,1,female,Liatris,aspera,,
76,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,citrinus,1,male,Silphium,perfoliatum,,
77,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,citrinus,5,male,Solidago,canadensis,,
78,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,2,female,Lezpedeza,capitata,,
79,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,female,Gentiana,alba,,
80,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,male,Monarda ,fistulosa,,
81,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,male,Pycnathemum,virginianum,,
82,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,2,male,Solidago,canadensis,,
83,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,female,Rhus,glabra,,
84,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,griseocollis,1,female,Ratibida,sp.,,
85,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,21,female,Solidago,canadensis,,
86,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,7,male,Solidago,canadensis,,
87,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,13,female,Lezpedeza,capitata,,
88,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Silphium,perfoliatum,,
89,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,2,female,Physotegia,virginiana,,
90,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,Veronicastrum,virginianum,,
91,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,impatiens,1,female,NA,NA,,
92,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,rufocinctus,1,male,Monarda ,fistulosa,,
93,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,rufocinctus,1,male,Lezpedeza,capitata,,
94,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,3,female,Physotegia,virginiana,,
95,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,3,female,Solidago,canadensis,,
96,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,female,Physotegia,virginiana,,
97,2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,vagans,1,female,Solidago,canadensis,,
98,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,affinis,3,male,Solidago,speciosa,Asteraceae,
99,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,citrinus,2,male,Solidago,speciosa,Asteraceae,
100,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,griseocollis,3,male,Solidago,speciosa,Asteraceae,
101,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,1,female,Solidago,canadensis,Asteraceae,
102,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,3,male,Solidago,canadensis,Asteraceae,
103,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,9,female,Solidago,speciosa,Asteraceae,
104,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,57,male,Solidago,speciosa,Asteraceae,
105,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,1,female,Solidago,rigida,Asteraceae,
106,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,impatiens,2,male,Solidago,rigida,Asteraceae,
107,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,rufocinctus,1,female,Solidago,speciosa,Asteraceae,
108,2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,vagans,2,male,Solidago,speciosa,Asteraceae,
109,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,impatiens,18,female,Sorbaria ,sorbifolia,,
110,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,impatiens,5,female,Cirsium,arvense,,
111,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,impatiens,1,male,Cirsium,arvense,,
112,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,8,female,Sorbaria ,sorbifolia,,
113,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,1,female,Pycnanthemum,virginianum,,Mt mint
114,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,1,female,Agastache,foeniculum,,
115,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,5,female,Cirsium,arvense,,
116,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,5,male,Sorbaria ,sorbifolia,,
117,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,3,male,Monarda,fistulosa,Lamiaceae,Mon fis
118,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,2,male,Nepeta,sp. ,,catmint
119,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,1,male,Agastache,foeniculum,,
120,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,4,male,Cirsium,arvense,,
121,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,1,female,Sorbaria ,sorbifolia,,
122,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,1,female,Cirsium,arvense,,
123,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,1,male,Cirsium,arvense,,
124,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,auricomus,1,female,Sorbaria,sorbifolia,,
125,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,vagans,1,female,Nepeta,sp. ,,catmint
126,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,vagans,1,female,Echinacea,purpurea,,
127,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,vagans,1,female,Cirsium,arvense,,
128,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,rufocinctus,2,female,Sorbaria,sorbifolia,,
129,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,rufocinctus,1,female,Trifolium,repens,,
130,2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,rufocinctus,1,female,Echinacea,purpurea,,
131,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,6,female,Monarda,fistulosa,,Mon fist
132,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,6,female,Desmodium,canadense,,Desmodium
133,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,2,female,Dalea,candida, ,
134,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,bimaculatus,2,male,Monarda,fistulosa,,
135,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,2,female,Monarda,fistulosa,,
136,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,9,female,Desmodium,canadense,,
137,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,3,female,Dalea,purpurea,,
138,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,2,female,Dalea,candida,,
139,2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,griseocollis,1,female,Vicia,villosa,,
